officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Town Hall S.O (Mumbai),400001,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22660701,,Mumbai G.P.O. ,,
V.W.T.C. S.O,400005,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22187488,,Mumbai G.P.O. ,,
Agripada S.O,400011,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23012516,,Mumbai Central H.O,,
Bharat Nagar S.O (Mumbai),400007,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23095470,,Mumbai Central H.O,,
Bhawani Shankar Rd S.O,400028,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24224371,,Mahim H.O,,
BPC  Jacob Circle S.O,400011,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23001811,,Mumbai Central H.O,,
Century Mill S.O,400030,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24229498,,Mahim H.O,,
Chinchpokli S.O,400011,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23000103,,Mumbai Central H.O,,
Cumballa Sea Face S.O,400026,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23625381,,Mumbai Central H.O,,
Dharavi Road S.O,400017,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24092586,,Mahim H.O,,
Dr Deshmukh Marg S.O,400026,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23523632,,Mumbai Central H.O,,
Falkland Road S.O,400008,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23081680,,Mumbai Central H.O,,
Gokhale Road S.O (Mumbai),400028,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24223789,,Mahim H.O,,
Gowalia Tank S.O,400026,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23805233,,Mumbai Central H.O,,
Haines Road S.O,400011,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23073525,,Mumbai Central H.O,,
Haji Ali S.O,400034,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23530722,,Mumbai Central H.O,,
J.J.Hospital S.O,400008,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23735207,,Mumbai Central H.O,,
Kamathipura S.O,400008,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23070526,,Mumbai Central H.O,,
Kapad Bazar S.O,400016,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24448184,,Mahim H.O,,
M A Marg S.O,400008,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23071201,,Mumbai Central H.O,,
Mahim Bazar S.O,400016,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24376630,,Mahim H.O,,
Mahim East S.O,400016,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24216001,,Mahim H.O,,
Mahim H.O,400016,H.O,Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24457011,,,,
Mori Road S.O,400016,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24448315,,Mahim H.O,,
Mumbai Central H.O,400008,H.O,Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23017296,,,,
N.S.Patkar Marg S.O,400007,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23678867,,Mumbai Central H.O,,
New Prabhadevi Road S.O,400025,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24302106,,Mahim H.O,,
Ranade Road S.O,400028,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24383104,,Mahim H.O,,
S V Marg S.O,400007,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23876839,,Mumbai Central H.O,,
S V S Marg S.O,400028,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24457002,,Mahim H.O,,
Shivaji Park S.O (Mumbai),400028,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24301777,,Mahim H.O,,
Tardeo S.O,400007,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23515840,,Mumbai Central H.O,,
Worli Naka S.O,400018,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24934927,,Mahim H.O,,
Worli Police Camp S.O,400030,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24913668,,Mahim H.O,,
Worli Sea Face S.O,400030,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24367499,,Mahim H.O,,
Mumbai G.P.O. ,400001,H.O,Delivery,Mumbai G.P.O.,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22620693,,,,
Belapur Node-- III S.O,400614,S.O,Non-Delivery,New Mumbai,Mumbai,Maharashtra,,Thane,MAHARASHTRA,022-27564653,,Panvel H.O,,
Belapur Node- V S.O,400614,S.O,Non-Delivery,New Mumbai,Mumbai,Maharashtra,,Thane,MAHARASHTRA,022-27561741,,Panvel H.O,,
K.U.Bazar S.O,400703,S.O,Non-Delivery,New Mumbai,Mumbai,Maharashtra,,Thane,MAHARASHTRA,022-27889926,,Panvel H.O,,
Khanda Colony S.O,410206,S.O,Non-Delivery,New Mumbai,Mumbai,Maharashtra,Panvel,Raigarh(MH),MAHARASHTRA,,,Panvel H.O,,
Khopoli S.O,410203,S.O,Non-Delivery,New Mumbai,Mumbai,Maharashtra,Khopoli,Raigarh(MH),MAHARASHTRA,02192-263351,,Panvel H.O,,
Nerul Node-II S.O,400706,S.O,Non-Delivery,New Mumbai,Mumbai,Maharashtra,,Thane,MAHARASHTRA,022-27700073,,Panvel H.O,,
Nerul Sec-48 S.O,400706,S.O,Non-Delivery,New Mumbai,Mumbai,Maharashtra,,Thane,MAHARASHTRA,022-27718656,,Panvel H.O,,
Panvel City S.O,410206,S.O,Non-Delivery,New Mumbai,Mumbai,Maharashtra,Panvel,Raigarh(MH),MAHARASHTRA,022-27452331,,Panvel H.O,,
Panvel H.O,410206,H.O,Delivery,New Mumbai,Mumbai,Maharashtra,Panvel,Raigarh(MH),MAHARASHTRA,022-27469214,,,,
Sanpada S.O,400703,S.O,Non-Delivery,New Mumbai,Mumbai,Maharashtra,Thane,Thane,MAHARASHTRA,022-27684628,,Panvel H.O,,
Turbhe Market S.O,400703,S.O,Non-Delivery,New Mumbai,Mumbai,Maharashtra,,Thane,MAHARASHTRA,022-27666089,,Panvel H.O,,
Turbhe S.O,400703,S.O,Non-Delivery,New Mumbai,Mumbai,Maharashtra,,Thane,MAHARASHTRA,022-27830992,,Panvel H.O,,
Vashi Sec-26 S.O,400703,S.O,Non-Delivery,New Mumbai,Mumbai,Maharashtra,,Thane,MAHARASHTRA,022-27894032,,Panvel H.O,,
Vashi-VII S.O,400703,S.O,Non-Delivery,New Mumbai,Mumbai,Maharashtra,,Thane,MAHARASHTRA,022-27820752,,Panvel H.O,,
Alibag H.O,402201,H.O,Delivery,Raigad,Mumbai,Maharashtra,Alibag,Raigarh(MH),MAHARASHTRA,02141-227899,,,,
Navipeth Mahad S.O,402301,S.O,Non-Delivery,Raigad,Mumbai,Maharashtra,Mahad,Raigarh(MH),MAHARASHTRA,02145-225331,,Alibag H.O,,
Salvadnaka Mahad No Dly. S.O,402301,S.O,Non-Delivery,Raigad,Mumbai,Maharashtra,Mahad,Raigarh(MH),MAHARASHTRA,02145-225332,,Alibag H.O,,
Ambernath South S.O,421501,S.O,Non-Delivery,Thane Central,Mumbai,Maharashtra,Ambarnath,Thane,MAHARASHTRA,0251-2607820,,Kalyan City H.O,,
Bhaji Market S.O,421002,S.O,Non-Delivery,Thane Central,Mumbai,Maharashtra,Ambarnath,Thane,MAHARASHTRA,0251-2709109,,Kalyan City H.O,,
Bus Terminus,421002,S.O,Non-Delivery,Thane Central,Mumbai,Maharashtra,Thane,Thane,MAHARASHTRA,0251-2566930,,Kalyan City H.O,,
Dombivali S.O,421201,S.O,Non-Delivery,Thane Central,Mumbai,Maharashtra,Kalyan,Thane,MAHARASHTRA,0251-2471884,,Kalyan City H.O,,
Ganeshwadi S.O (Thane),421306,S.O,Non-Delivery,Thane Central,Mumbai,Maharashtra,Kalyan,Thane,MAHARASHTRA,0251-2363513,,Kalyan City H.O,,
Gokhale Road S.O (Thane),400602,S.O,Non-Delivery,Thane Central,Mumbai,Maharashtra,,Thane,MAHARASHTRA,022-25422290,,Thane H.O,,
Kalyan City H.O,421301,H.O,Non-Delivery,Thane Central,Mumbai,Maharashtra,Kalyan,Thane,MAHARASHTRA,0251-2203439,,,,
Kalyan Rs S.O,421301,S.O,Non-Delivery,Thane Central,Mumbai,Maharashtra,Kalyan,Thane,MAHARASHTRA,0251-2315184,,Kalyan City H.O,,
Kansai S.O,421501,S.O,Non-Delivery,Thane Central,Mumbai,Maharashtra,Ambarnath,Thane,MAHARASHTRA,0251-2608982,,Kalyan City H.O,,
Kopri Colony S.O,400603,S.O,Non-Delivery,Thane Central,Mumbai,Maharashtra,Thane,Thane,MAHARASHTRA,022-25323656,,Thane H.O,,
Padgha Extension Counter,421101,S.O,Non-Delivery,Thane Central,Mumbai,Maharashtra,Thane,Thane,MAHARASHTRA,0241-,,Thane H.O,,
Ramnagar S.O (Thane),421201,S.O,Non-Delivery,Thane Central,Mumbai,Maharashtra,Kalyan,Thane,MAHARASHTRA,0251-2433040,,Kalyan City H.O,,
Shastrinagar S.O (Thane),421302,S.O,Non-Delivery,Thane Central,Mumbai,Maharashtra,Bhiwandi,Thane,MAHARASHTRA,02522-248022,,Thane H.O,,
Station Road Unr-3 S.O,421002,S.O,Non-Delivery,Thane Central,Mumbai,Maharashtra,Kalyan,Thane,MAHARASHTRA,0251-2556188,,Kalyan City H.O,,
Subhash Road S.O (Thane),421301,S.O,Non-Delivery,Thane Central,Mumbai,Maharashtra,Kalyan,Thane,MAHARASHTRA,0251-2209155,,Kalyan City H.O,,
Thane Bazar S.O,400601,S.O,Non-Delivery,Thane Central,Mumbai,Maharashtra,Thane,Thane,MAHARASHTRA,022-25331011,,Thane H.O,,
Thane H.O,400601,H.O,Delivery,Thane Central,Mumbai,Maharashtra,Thane,Thane,MAHARASHTRA,022-25476356,,,,
Thane R.S. S.O,400601,S.O,Non-Delivery,Thane Central,Mumbai,Maharashtra,Thane,Thane,MAHARASHTRA,022-25336144,,Thane H.O,,
Ulhasnagar 1,421002,S.O,Non-Delivery,Thane Central,Mumbai,Maharashtra,Thane,Thane,MAHARASHTRA,0251-2566930,,Kalyan City H.O,,
Mira S.O,401107,S.O,Non-Delivery,Thane West,Mumbai,Maharashtra,Thane,Thane,MAHARASHTRA,022-28457394,,Palghar H.O,,
Palghar H.O,401404,H.O,Delivery,Thane West,Mumbai,Maharashtra,Palghar,Thane,MAHARASHTRA,02525-252092,,,,
Vasai Road E S.O,401202,S.O,Non-Delivery,Thane West,Mumbai,Maharashtra,Vasai,Thane,MAHARASHTRA,0250-2390383,,Palghar H.O,,
Akola H.O,444001,H.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,0724-2436931,,,,
Akot Kut S.O,444101,S.O,Non-Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,07258-222725,,Akola H.O,,
Gurumandir Karanja S.O,444105,S.O,Non-Delivery,Akola,Nagpur,Maharashtra,Washim,Washim,MAHARASHTRA,,,Akola H.O,,
Kaulkhed S.O,444004,S.O,Non-Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,0724-2488136,,Akola H.O,,
Murtizapur City S.O,444107,S.O,Non-Delivery,Akola,Nagpur,Maharashtra,Murtijapur,Akola,MAHARASHTRA,07256-243466,,Akola H.O,,
Ramdaspeth Akola S.O,444001,S.O,Non-Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,0724-2436880,,Akola H.O,,
Ranpisenagar Akola S.O,444001,S.O,Non-Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,0724-2453413,,Akola H.O,,
Rpts Akola S.O,444002,S.O,Non-Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,0724-2426657,,Akola H.O,,
Tilak Road Akola S.O,444001,S.O,Non-Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,,,Akola H.O,,
Washim City S.O,444505,S.O,Non-Delivery,Akola,Nagpur,Maharashtra,Washim,Washim,MAHARASHTRA,,,Akola H.O,,
Ambapeth S.O,444601,S.O,Non-Delivery,Amaravati,Nagpur,Maharashtra,,Amravati,MAHARASHTRA,0721-2676386,,Amravati H.O,,
Amravati H.O,444601,H.O,Delivery,Amaravati,Nagpur,Maharashtra,Amravati,Amravati,MAHARASHTRA,0721-2672055,,,,
Badnera Town S.O,444701,S.O,Non-Delivery,Amaravati,Nagpur,Maharashtra,Amaravati,Amravati,MAHARASHTRA,0721-2681260,,Amravati H.O,,
Bhaji Bazar Amravati S.O,444601,S.O,Non-Delivery,Amaravati,Nagpur,Maharashtra,Amravati,Amravati,MAHARASHTRA,0721-2564500,,Amravati H.O,,
Chhota Bazar S.O,444805,S.O,Non-Delivery,Amaravati,Nagpur,Maharashtra,Paratwada,Amravati,MAHARASHTRA,0721-221099,,Paratwada H.O,,
Congress Nagar S.O (Amravati),444606,S.O,Non-Delivery,Amaravati,Nagpur,Maharashtra,Amravati,Amravati,MAHARASHTRA,0721-2662980,,Amravati H.O,,
Daryapur Town S.O,444803,S.O,Non-Delivery,Amaravati,Nagpur,Maharashtra,Daryapur,Amravati,MAHARASHTRA,07224-234369,,Paratwada H.O,,
Dhamangaon Town S.O,444709,S.O,Non-Delivery,Amaravati,Nagpur,Maharashtra,Dhamangaon,Amravati,MAHARASHTRA,07222-237011,,Amravati H.O,,
Gokul Market S.O,444606,S.O,Non-Delivery,Amaravati,Nagpur,Maharashtra,Amravati,Amravati,MAHARASHTRA,0721-2676394,,Amravati H.O,,
Old Cotton Market S.O,444601,S.O,Non-Delivery,Amaravati,Nagpur,Maharashtra,Amravati,Amravati,MAHARASHTRA,0721-2576391,,Amravati H.O,,
Paratwada H.O,444805,H.O,Delivery,Amaravati,Nagpur,Maharashtra,Paratwada,Amravati,MAHARASHTRA,07223-227191,,,,
Rajapeth S.O,444601,S.O,Non-Delivery,Amaravati,Nagpur,Maharashtra,Amravati,Amravati,MAHARASHTRA,0721-2676390,,Amravati H.O,,
Sant GadgebabaAmravatiUniversityS.O,444602,S.O,Non-Delivery,Amaravati,Nagpur,Maharashtra,Amravati,Amravati,MAHARASHTRA,0721-2576388,,Amravati H.O,,
Surji  (Anjangaon) S.O,444705,S.O,Non-Delivery,Amaravati,Nagpur,Maharashtra,Anjangaon,Amravati,MAHARASHTRA,07224-242293,,Paratwada H.O,,
Walgaon Road Tso Amravati S.O,444601,S.O,Non-Delivery,Amaravati,Nagpur,Maharashtra,Amravati,Amravati,MAHARASHTRA,0721-2576397,,Amravati H.O,,
Bhajisath Nandura S.O,443404,S.O,Non-Delivery,Buldana,Nagpur,Maharashtra,Nandura,Buldhana,MAHARASHTRA,07265-221114,,Buldana H.O,,
Buldana H.O,443001,H.O,Delivery,Buldana,Nagpur,Maharashtra,Buldana,Buldhana,MAHARASHTRA,07262-242588,,,,
Cotton Market Chikhli S.O,443201,S.O,Non-Delivery,Buldana,Nagpur,Maharashtra,Chikhli,Buldhana,MAHARASHTRA,07264-242461,,Buldana H.O,,
Kelanagar S.O,444303,S.O,Non-Delivery,Buldana,Nagpur,Maharashtra,Khamgaon,Buldhana,MAHARASHTRA,07263-255140,,Khamgaon H.O,,
Khamgaon H.O,444303,H.O,Delivery,Buldana,Nagpur,Maharashtra,Khamgaon,Buldhana,MAHARASHTRA,07263-252106,,,,
Malkapur City S.O,443101,S.O,Non-Delivery,Buldana,Nagpur,Maharashtra,Malkapur,Buldhana,MAHARASHTRA,07267-222149,,Buldana H.O,,
Sarafa Khamgaon S.O,444303,S.O,Non-Delivery,Buldana,Nagpur,Maharashtra,Khamgaon,Buldhana,MAHARASHTRA,07263-255150,,Khamgaon H.O,,
Chandrapur H.O,442401,H.O,Delivery,Chandrapur,Nagpur,Maharashtra,Chandrapur Ho,Chandrapur,MAHARASHTRA,07172-255297,,,,
Gadchiroli Coll S.O,442605,S.O,Non-Delivery,Chandrapur,Nagpur,Maharashtra,Gadchiroli,Gadchiroli,MAHARASHTRA,07132-222462,,Chandrapur H.O,,
Navegaon,442605,S.O,Non-Delivery,Chandrapur,Nagpur,Maharashtra,Gadchiroli,Gadchiroli,MAHARASHTRA,,,Chandrapur H.O,,
Pathanpura S.O,442402,S.O,Non-Delivery,Chandrapur,Nagpur,Maharashtra,Chandrapur,Chandrapur,MAHARASHTRA,07172-253223,,Chandrapur H.O,,
Shashtrinagar S.O,442401,S.O,Non-Delivery,Chandrapur,Nagpur,Maharashtra,Chandrapur,Chandrapur,MAHARASHTRA,07172-263737,,Chandrapur H.O,,
Abhyankar Nagar S.O,440010,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2233292,,Nagpur GPO,,
Bezonbagh S.O,440014,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2562711,,Nagpur GPO,,
Borgaon Road S.O,440013,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2596330,,Nagpur GPO,,
Bureau Of Mines S.O,440001,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2562299,,Nagpur GPO,,
Coal Estate S.O,440001,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2510372,,Nagpur GPO,,
Congress Nagar S.O (Nagpur),440012,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2460678,,Nagpur GPO,,
Dhantoli S.O,440012,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2460020,,Nagpur GPO,,
Dighori Naka S.O,440024,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2710777,,Nagpur City H.O,,
Ganjipeth S.O,440018,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2728388,,Nagpur City H.O,,
Giripeth S.O,440010,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2728389,,Nagpur GPO,,
Gokulpeth S.O,440010,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2558424,,Nagpur GPO,,
Hanuman Nagar S.O,440024,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2703733,,Nagpur City H.O,,
Hitavada S.O,440012,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2458984,,Nagpur GPO,,
Imamwada S.O,440003,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2756683,,Nagpur City H.O,,
Kasturchand Park S.O,440001,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2560736,,Nagpur GPO,,
Khare Town S.O,440010,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2554875,,Nagpur GPO,,
Laxmi Nagar S.O (Nagpur),440022,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2227574,,Nagpur GPO,,
Manewada Road S.O,440024,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2744596,,Nagpur City H.O,,
Medical College S.O (Nagpur),440003,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2744430,,Nagpur City H.O,,
Mohan Nagar S.O (Nagpur),440001,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2562102,,Nagpur GPO,,
Mominpura S.O,440018,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2728344,,Nagpur City H.O,,
Nadt Campus S.O,440030,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2582074,,Nagpur GPO,,
Nagpur City H.O,440002,H.O,Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2765420,,,,
Nagpur GPO,440001,H.O,Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2560170,,,,
Nandavan Colony S.O,440024,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2746444,,Nagpur City H.O,,
Narendra Nagar S.O (Nagpur),440015,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2742408,,Nagpur GPO,,
Nayapura S.O,440002,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2767260,,Nagpur City H.O,,
Netaji Market S.O,440012,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2554487,,Nagpur GPO,,
Panchsheel Nagar S.O,440017,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2646848,,Nagpur City H.O,,
Raje Raghujinagar S.O,440024,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2742717,,Nagpur City H.O,,
Ravi Nagar S.O,440001,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2561460,,Nagpur GPO,,
Sadar Bazar S.O (Nagpur),440001,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2554874,,Nagpur GPO,,
Samartha Nagar S.O,440015,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2222608,,Nagpur GPO,,
Shradhananpeth S.O,440022,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2458958,,Nagpur GPO,,
Sitabuldi S.O,440012,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2565321,,Nagpur GPO,,
SRPF S.O,440016,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,07104-232377,,Nagpur GPO,,
Trimurti Nagar S.O,440022,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2228124,,Nagpur GPO,,
Ujwal Nagar S.O (Nagpur),440025,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2292246,,Nagpur GPO,,
V R C E S.O,440010,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2220351,,Nagpur GPO,,
Vishwakarma Nagar S.O,440027,S.O,Non-Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2748385,,Nagpur City H.O,,
Bhandara H.O,441904,H.O,Delivery,Nagpur Moffusil,Nagpur,Maharashtra,Bhandara,Bhandara,MAHARASHTRA,07184-252248,,,,
Bhandara Town S.O,441904,S.O,Non-Delivery,Nagpur Moffusil,Nagpur,Maharashtra,Bhandara,Bhandara,MAHARASHTRA,07184-252301,,Bhandara H.O,,
Dattawadi S.O,440023,S.O,Non-Delivery,Nagpur Moffusil,Nagpur,Maharashtra,Nagpur (Urban),Nagpur,MAHARASHTRA,07104-2500680,,Nagpur GPO,,
Gondia Bazar S.O,441601,S.O,Non-Delivery,Nagpur Moffusil,Nagpur,Maharashtra,Gondiya,Gondia,MAHARASHTRA,07182-222102,,Gondia H.O,,
Gondia H.O,441601,H.O,Delivery,Nagpur Moffusil,Nagpur,Maharashtra,Gondia,Gondia,MAHARASHTRA,07182-223080,,,,
Kamthi City SO,441001,S.O,Non-Delivery,Nagpur Moffusil,Nagpur,Maharashtra,Kamthi,Nagpur,MAHARASHTRA,07109-288661,,Kamthi H.O,,
Kamthi H.O,441001,H.O,Delivery,Nagpur Moffusil,Nagpur,Maharashtra,Kamthi,Nagpur,MAHARASHTRA,07109-288648,,,,
Midc Kalmeshwar S.O,441501,S.O,Non-Delivery,Nagpur Moffusil,Nagpur,Maharashtra,Kalameshwar,Nagpur,MAHARASHTRA,07118-244193,,Kamthi H.O,,
MIDC Nagpur S.O,440016,S.O,Non-Delivery,Nagpur Moffusil,Nagpur,Maharashtra,Nagpur (Urban),Nagpur,MAHARASHTRA,07104-237240,,Nagpur GPO,,
Umred Bazar S.O,441203,S.O,Non-Delivery,Nagpur Moffusil,Nagpur,Maharashtra,Umred,Nagpur,MAHARASHTRA,07116-242002,,Kamthi H.O,,
Cottom Market S.O,442003,S.O,Non-Delivery,Wardha,Nagpur,Maharashtra,Wardha,Wardha,MAHARASHTRA,07152-249801,,Wardha H.O,,
Cotton Market S.O,442003,S.O,Non-Delivery,Wardha,Nagpur,Maharashtra,Wardha,Wardha,MAHARASHTRA,,,Wardha H.O,,
