officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Chhindwara H.O,480001,H.O,Delivery,Chhindwara,Bhopal HQ,Madhya Pradesh,Chhindwara,Chhindwara,MADHYA PRADESH,07162-247892,,,,
Hoshangabad H.O,461001,H.O,Delivery,Hoshangabad,Bhopal HQ,Madhya Pradesh,Hoshangabad,Hoshangabad,MADHYA PRADESH,07574-252398,,,,
Narsinghpur H.O,487001,H.O,Delivery,Hoshangabad,Bhopal HQ,Madhya Pradesh,Narsinghpur Ho,Narsinghpur,MADHYA PRADESH,07792-230604,,,,
Rewa H.O,486001,H.O,Delivery,Rewa,Bhopal HQ,Madhya Pradesh,Huzur,Rewa,MADHYA PRADESH,02004-7662256,,,,
Satna H.O,485001,H.O,Delivery,Rewa,Bhopal HQ,Madhya Pradesh,Raghurajnagar,Satna,MADHYA PRADESH,07672-230351,,,,
Damoh H.O,470661,H.O,Delivery,Sagar,Bhopal HQ,Madhya Pradesh,Damoh,Damoh,MADHYA PRADESH,07812-222106,,,,
Sagar Cantt H.O,470001,H.O,Delivery,Sagar,Bhopal HQ,Madhya Pradesh,Sagar,Sagar,MADHYA PRADESH,07582-222547,,,,
Shahdol H.O,484001,H.O,Delivery,Shahdol,Bhopal HQ,Madhya Pradesh,Sohagpur,Shahdol,MADHYA PRADESH,07652-245242,,,,
Sidhi H.O,486661,H.O,Delivery,Shahdol,Bhopal HQ,Madhya Pradesh,Gopadvanas,Sidhi,MADHYA PRADESH,07822-252202,,,,
Raisen H.O,464551,H.O,Delivery,Vidisha,Bhopal HQ,Madhya Pradesh,Raisen,Raisen,MADHYA PRADESH,07482-222072,,,,
Vidisha H.O,464001,H.O,Delivery,Vidisha,Bhopal HQ,Madhya Pradesh,Vidisha,Vidisha,MADHYA PRADESH,07592-232022,,,,
Ashoknagar H.O,473331,H.O,Delivery,Guna,Gwalior,Madhya Pradesh,Ashoknagar,Guna,MADHYA PRADESH,07543-222726,,,,
Guna H.O,473001,H.O,Delivery,Guna,Gwalior,Madhya Pradesh,Guna,Guna,MADHYA PRADESH,07542-255212,,,,
Shivpuri H.O,473551,H.O,Delivery,Guna,Gwalior,Madhya Pradesh,Shivpuri,Shivpuri,MADHYA PRADESH,07492-233386,,,,
Lashkar H.O,474001,H.O,Delivery,Gwalior,Gwalior,Madhya Pradesh,Gird,Gwalior,MADHYA PRADESH,0751-2454520,,,,
Morar H.O,474006,H.O,Delivery,Gwalior,Gwalior,Madhya Pradesh,Gird,Gwalior,MADHYA PRADESH,0751-2443172,,,,
Bhind H.O,477001,H.O,Delivery,Morena,Gwalior,Madhya Pradesh,Bhind,Bhind,MADHYA PRADESH,07534-230122,,,,
Morena H.O,476001,H.O,Delivery,Morena,Gwalior,Madhya Pradesh,Morena,Morena,MADHYA PRADESH,07532-226305,,,,
Indore G.P.O. ,452001,H.O,Delivery,Indore City,Indore,Madhya Pradesh,Indore,Indore,MADHYA PRADESH,0731-2700023,,,,
Indore Nagar H.O,452007,H.O,Delivery,Indore City,Indore,Madhya Pradesh,Indore,Indore,MADHYA PRADESH,0731-2535813,,,,
Dewas H.O,455001,H.O,Delivery,Indore Moffusil,Indore,Madhya Pradesh,Dewas,Dewas,MADHYA PRADESH,07272-222094,,,,
Dhar H.O,454001,H.O,Delivery,Indore Moffusil,Indore,Madhya Pradesh,Dhar,Dhar,MADHYA PRADESH,07292-222350,,,,
Jabalpur H.O,482001,H.O,Delivery,Jabalpur,Indore,Madhya Pradesh,,Jabalpur,MADHYA PRADESH,0761-2626350,,,,
Katni H.O,483501,H.O,Delivery,Jabalpur,Indore,Madhya Pradesh,Murwara,Katni,MADHYA PRADESH,07622-230465,,,,
Khandwa H.O,450001,H.O,Delivery,Khandwa,Indore,Madhya Pradesh,Khandwa,East Nimar,MADHYA PRADESH,0733-2222352,,,,
Khargone H.O,451001,H.O,Delivery,Khandwa,Indore,Madhya Pradesh,Khargone,West Nimar,MADHYA PRADESH,07282-231312,,,,
Mandsaur H.O,458001,H.O,Delivery,Mandsaur,Indore,Madhya Pradesh,Mandsaur,Mandsaur,MADHYA PRADESH,07422-242279,,,,
Neemuch H.O,458441,H.O,Delivery,Mandsaur,Indore,Madhya Pradesh,Neemuch,Neemuch,MADHYA PRADESH,07423-223050,,,,
Jhabua H.O,457661,H.O,Delivery,Ratlam,Indore,Madhya Pradesh,Jhabua,Jhabua,MADHYA PRADESH,07392-244217,,,,
Ratlam H.O,457001,H.O,Delivery,Ratlam,Indore,Madhya Pradesh,Ratlam,Ratlam,MADHYA PRADESH,07412-236209,,,,
Rajgarh(Bia) H.O,465661,H.O,Delivery,Sehore,Indore,Madhya Pradesh,,Rajgarh,MADHYA PRADESH,07372-255042,,,,
Sehore H.O,466001,H.O,Delivery,Sehore,Indore,Madhya Pradesh,Sehore,Sehore,MADHYA PRADESH,07562-224294,,,,
Shajapur H.O,465001,H.O,Delivery,Ujjain,Indore,Madhya Pradesh,Shajapur,Shajapur,MADHYA PRADESH,07364-226471,,,,
Ujjain H.O,456001,H.O,Delivery,Ujjain,Indore,Madhya Pradesh,Ujjain,Ujjain,MADHYA PRADESH,0734-2551024,,,,
Aurangabad (MH) H.O,431001,H.O,Delivery,Aurangabad(Maharashtra),Aurangabad,Maharashtra,Aurangabad,Aurangabad,MAHARASHTRA,0240-2331031,,,,
Jalna H.O,431203,H.O,Delivery,Aurangabad(Maharashtra),Aurangabad,Maharashtra,Jalna,Jalna,MAHARASHTRA,02482-232925,,,,
Beed H.O,431122,H.O,Delivery,Beed,Aurangabad,Maharashtra,Beed,Beed,MAHARASHTRA,02442-222376,,,,
Bhusawal H.O,425201,H.O,Delivery,Bhusaval,Aurangabad,Maharashtra,Bhusawal,Jalgaon,MAHARASHTRA,02582-222424,,,,
Dhule H.O,424001,H.O,Delivery,Dhule,Aurangabad,Maharashtra,Dhule,Dhule,MAHARASHTRA,02562-234909,,,,
Chalisgaon H.O,424101,H.O,Delivery,Jalgaon,Aurangabad,Maharashtra,Chalisgaon,Jalgaon,MAHARASHTRA,02589-222169,,,,
Jalgaon H.O,425001,H.O,Delivery,Jalgaon,Aurangabad,Maharashtra,Jalgaon,Jalgaon,MAHARASHTRA,0257-2237247,,,,
Malegaon H.O,423203,H.O,Delivery,Malegaon,Aurangabad,Maharashtra,Malegaon,Nashik,MAHARASHTRA,02554-235964,,,,
Nanded H.O,431601,H.O,Delivery,Nanded,Aurangabad,Maharashtra,Nanded,Nanded,MAHARASHTRA,02462-232833,,,,
Nashik H.O,422001,H.O,Delivery,Nasik,Aurangabad,Maharashtra,Nashik,Nashik,MAHARASHTRA,0253-2506647,,,,
Nashik Road H.O,422101,H.O,Delivery,Nasik,Aurangabad,Maharashtra,Nashik,Nashik,MAHARASHTRA,0253-2465334,,,,
Latur H.O,413512,H.O,Delivery,Osmanabad,Aurangabad,Maharashtra,Latur,Latur,MAHARASHTRA,02382-242680,,,,
Osmanabad H.O,413501,H.O,Delivery,Osmanabad,Aurangabad,Maharashtra,Osmanabad,Osmanabad,MAHARASHTRA,02472-222294,,,,
Parbhani H.O,431401,H.O,Delivery,Pharbhani,Aurangabad,Maharashtra,Parbhani,Parbhani,MAHARASHTRA,02452-228600,,,,
Margao H.O,403601,H.O,Delivery,Goa,Goa-Panaji,Maharashtra,Salcette,South Goa,GOA,0832-2715791,,,,
Panaji H.O,403001,H.O,Delivery,Goa,Goa-Panaji,Maharashtra,Tiswadi,North Goa,GOA,0832-2223704,,,,
Ichalkaranji H.O,416115,H.O,Delivery,Kolhapur,Goa-Panaji,Maharashtra,Hatkanangle,Kolhapur,MAHARASHTRA,0230-2420483,,,,
Kolhapur City H.O,416012,H.O,Delivery,Kolhapur,Goa-Panaji,Maharashtra,Karvir,Kolhapur,MAHARASHTRA,0231-2628005,,,,
Kolhapur H.O,416003,H.O,Delivery,Kolhapur,Goa-Panaji,Maharashtra,Karvir,Kolhapur,MAHARASHTRA,0231-2656830,,,,
Chiplun H.O,415605,H.O,Delivery,Ratnagiri,Goa-Panaji,Maharashtra,Chiplun,Ratnagiri,MAHARASHTRA,02355-261700,,,,
Ratnagiri H.O,415612,H.O,Delivery,Ratnagiri,Goa-Panaji,Maharashtra,Ratnagiri,Ratnagiri,MAHARASHTRA,02352-221247,,,,
Miraj H.O,416410,H.O,Delivery,Sangli,Goa-Panaji,Maharashtra,Miraj,Sangli,MAHARASHTRA,0233-2225480,,,,
Sangli H.O,416416,H.O,Delivery,Sangli,Goa-Panaji,Maharashtra,Miraj,Sangli,MAHARASHTRA,0233-2331022,,,,
Malvan H.O,416606,H.O,Delivery,Sindhudurg,Goa-Panaji,Maharashtra,Malvan,Sindhudurg,MAHARASHTRA,02365-251136,,,,
Sawantwadi H.O,416510,H.O,Delivery,Sindhudurg,Goa-Panaji,Maharashtra,Sawantwadi,Sindhudurg,MAHARASHTRA,02363-272161,,,,
Chinchbunder H.O,400009,H.O,Delivery,Mumbai  East,Mumbai,Maharashtra,,Mumbai,MAHARASHTRA,022-23771116,,,,
Dadar H.O,400014,H.O,Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24168410,,,,
Andheri H.O,400053,H.O,Non-Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26703985,,,,
Chembur H.O,400071,H.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,,Mumbai,MAHARASHTRA,022-25275421,,,,
Borivali H.O,400091,H.O,Delivery,Mumbai  North West,Mumbai,Maharashtra,Borivali West,Mumbai,MAHARASHTRA,022-28687256,,,,
Kalbadevi H.O,400002,H.O,Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22057587,,,,
Mahim H.O,400016,H.O,Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24457011,,,,
Mumbai Central H.O,400008,H.O,Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23017296,,,,
Mumbai G.P.O. ,400001,H.O,Delivery,Mumbai G.P.O.,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22620693,,,,
Panvel H.O,410206,H.O,Delivery,New Mumbai,Mumbai,Maharashtra,Panvel,Raigarh(MH),MAHARASHTRA,022-27469214,,,,
Alibag H.O,402201,H.O,Delivery,Raigad,Mumbai,Maharashtra,Alibag,Raigarh(MH),MAHARASHTRA,02141-227899,,,,
Kalyan City H.O,421301,H.O,Non-Delivery,Thane Central,Mumbai,Maharashtra,Kalyan,Thane,MAHARASHTRA,0251-2203439,,,,
Thane H.O,400601,H.O,Delivery,Thane Central,Mumbai,Maharashtra,Thane,Thane,MAHARASHTRA,022-25476356,,,,
Palghar H.O,401404,H.O,Delivery,Thane West,Mumbai,Maharashtra,Palghar,Thane,MAHARASHTRA,02525-252092,,,,
Akola H.O,444001,H.O,Delivery,Akola,Nagpur,Maharashtra,Akola,Akola,MAHARASHTRA,0724-2436931,,,,
Amravati H.O,444601,H.O,Delivery,Amaravati,Nagpur,Maharashtra,Amravati,Amravati,MAHARASHTRA,0721-2672055,,,,
Paratwada H.O,444805,H.O,Delivery,Amaravati,Nagpur,Maharashtra,Paratwada,Amravati,MAHARASHTRA,07223-227191,,,,
Buldana H.O,443001,H.O,Delivery,Buldana,Nagpur,Maharashtra,Buldana,Buldhana,MAHARASHTRA,07262-242588,,,,
Khamgaon H.O,444303,H.O,Delivery,Buldana,Nagpur,Maharashtra,Khamgaon,Buldhana,MAHARASHTRA,07263-252106,,,,
Chandrapur H.O,442401,H.O,Delivery,Chandrapur,Nagpur,Maharashtra,Chandrapur Ho,Chandrapur,MAHARASHTRA,07172-255297,,,,
Nagpur City H.O,440002,H.O,Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2765420,,,,
Nagpur GPO,440001,H.O,Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,Nagpur,MAHARASHTRA,0712-2560170,,,,
Bhandara H.O,441904,H.O,Delivery,Nagpur Moffusil,Nagpur,Maharashtra,Bhandara,Bhandara,MAHARASHTRA,07184-252248,,,,
Gondia H.O,441601,H.O,Delivery,Nagpur Moffusil,Nagpur,Maharashtra,Gondia,Gondia,MAHARASHTRA,07182-223080,,,,
Kamthi H.O,441001,H.O,Delivery,Nagpur Moffusil,Nagpur,Maharashtra,Kamthi,Nagpur,MAHARASHTRA,07109-288648,,,,
Wardha H.O,442001,H.O,Delivery,Wardha,Nagpur,Maharashtra,Wardha,Wardha,MAHARASHTRA,07152-243499,,,,
Yavatmal H.O,445001,H.O,Delivery,Yeotmal,Nagpur,Maharashtra,Yavatmal,Yavatmal,MAHARASHTRA,07232-243263,,,,
Ahmednagar H.O,414001,H.O,Delivery,Ahmednagar,Pune,Maharashtra,Ahmednagar,Ahmed Nagar,MAHARASHTRA,0241-2355036,,,,
Pandharpur H.O,413304,H.O,Delivery,Pandharpur,Pune,Maharashtra,Pandharpur,Solapur,MAHARASHTRA,02186-223410,,,,
Pune H.O,411001,H.O,Delivery,Pune City East,Pune,Maharashtra,Pune City,Pune,MAHARASHTRA,020-26125516,,,,
Pune City H.O,411002,H.O,Delivery,Pune City West,Pune,Maharashtra,Pune City,Pune,MAHARASHTRA,020-24466660,,,,
Shivajinagar H.O,411005,H.O,Non-Delivery,Pune Moffusil,Pune,Maharashtra,Haveli,Pune,MAHARASHTRA,020-25534929,,,,
Karad H.O,415110,H.O,Delivery,Satara,Pune,Maharashtra,Karad,Satara,MAHARASHTRA,02164-222091,,,,
Satara H.O,415001,H.O,Delivery,Satara,Pune,Maharashtra,Satara,Satara,MAHARASHTRA,02162-237495,,,,
Shrirampur H.O,413709,H.O,Delivery,Shrirampur,Pune,Maharashtra,Shrirampur,Ahmed Nagar,MAHARASHTRA,02422-222327,,,,
Solapur H.O,413001,H.O,Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,0217-2621082,,,,
Imphal H.O,795001,H.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,0385-2450146,,,,
Aizawl H.O,796001,H.O,Delivery,Mizoram,North Eastern,North Eastern,Tlangnuam (Part),Aizawl,MIZORAM,0389-2328023,,,,
Kohima H.O,797001,H.O,Delivery,Nagaland,North Eastern,North Eastern,Kohima,Kohima,NAGALAND,0370-2290929,,,,
Agartala H.O,799001,H.O,Delivery,Agartala,Shillong HQ,North Eastern,Sadar,West Tripura,TRIPURA,0381-2325489,,,,
Radhakishorepur H.O,799120,H.O,Delivery,Agartala,Shillong HQ,North Eastern,Radhakishorepur,South Tripura,TRIPURA,03821-222405,,,,
Itanagar H.O,791111,H.O,Delivery,Arunachal Pradesh,Shillong HQ,North Eastern,Itanagar,Papum Pare,ARUNACHAL PRADESH,0360-2291407,,,,
Dharmanagar H.O,799250,H.O,Delivery,Dharmanagar,Shillong HQ,North Eastern,Dharmanagar,North Tripura,TRIPURA,03822-234517,,,,
Shillong G.P.O. ,793001,H.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Shillong,East Khasi Hills,MEGHALAYA,0364-2222179,,,,
Tura H.O,794001,H.O,Delivery,Meghalaya,Shillong HQ,North Eastern,Tura,West Garo Hills,MEGHALAYA,03651-223790,,,,
Aska H.O,761110,H.O,Delivery,Aska,Berhampur,Odisha,Aska,Ganjam,ODISHA,06822-273611,,,,
Bhanjanagar H.O,761126,H.O,Delivery,Aska,Berhampur,Odisha,Bhanjanagar,Ganjam,ODISHA,06821-241088,,,,
Berhampur(GM) H.O,760001,H.O,Delivery,Berhampur,Berhampur,Odisha,Brahmapur Sadar,Ganjam,ODISHA,0680-2222884,,,,
Chatrapur H.O,761020,H.O,Delivery,Berhampur,Berhampur,Odisha,Chatrapur,Ganjam,ODISHA,06811-263961,,,,
Parlakhemundi H.O,761200,H.O,Delivery,Berhampur,Berhampur,Odisha,Parlakhemundi,Gajapati,ODISHA,06815-222266,,,,
Bhawanipatna H.O,766001,H.O,Delivery,Kalahandi,Berhampur,Odisha,Kesinga,Kalahandi,ODISHA,06670-230571,,,,
Jeypore(K) H.O,764001,H.O,Delivery,Koraput,Berhampur,Odisha,Jeypore(k),Koraput,ODISHA,06854-233001,,,,
Koraput H.O,764020,H.O,Delivery,Koraput,Berhampur,Odisha,Koraput,Koraput,ODISHA,06852-250251,,,,
Rayagada(K) H.O,765001,H.O,Delivery,Koraput,Berhampur,Odisha,Rayagada(k),Rayagada,ODISHA,06856-235955,,,,
Phulbani H.O,762001,H.O,Delivery,Phulbani,Berhampur,Odisha,Phulbani,Kandhamal,ODISHA,06842-253642,,,,
Balasore H.O,756001,H.O,Delivery,Balasore,Bhubaneswar HQ,Odisha,Balasore,Baleswar,ODISHA,06782-262310,,,,
Jaleswar H.O,756032,H.O,Delivery,Balasore,Bhubaneswar HQ,Odisha,Jaleswar,Baleswar,ODISHA,06781-222294,,,,
Bhadrak H.O,756100,H.O,Delivery,Bhadrak,Bhubaneswar HQ,Odisha,Bhadrak Rural,Bhadrak,ODISHA,06784-251691,,,,
Bhubaneswar G.P.O. ,751001,H.O,Delivery,Bhubaneswar,Bhubaneswar HQ,Odisha,Bhubaneswar,Khorda,ODISHA,0674-2390165,,,,
Chandinchowk H.O,753002,H.O,Delivery,Cuttack City,Bhubaneswar HQ,Odisha,Cuttack Sadar,Cuttack,ODISHA,0671-2607015,,,,
Cuttack G.P.O. ,753001,H.O,Delivery,Cuttack City,Bhubaneswar HQ,Odisha,Cuttack Sadar,Cuttack,ODISHA,0671-2620820,,,,
Jajpur H.O,755001,H.O,Delivery,Cuttack North,Bhubaneswar HQ,Odisha,Jajpur,Jajapur,ODISHA,06728-222164,,,,
Kendrapara H.O,754211,H.O,Delivery,Cuttack North,Bhubaneswar HQ,Odisha,Kendrapara,Kendrapara,ODISHA,06727-232210,,,,
Athagarh H.O,754029,H.O,Delivery,Cuttack South,Bhubaneswar HQ,Odisha,Athagarh,Cuttack,ODISHA,06723-220219,,,,
Jagatsinghpur H.O,754103,H.O,Delivery,Cuttack South,Bhubaneswar HQ,Odisha,Jagatsinghpur,Jagatsinghapur,ODISHA,06724-220026,,,,
Baripada H.O,757001,H.O,Delivery,Mayurbhanj,Bhubaneswar HQ,Odisha,Baripada,Mayurbhanj,ODISHA,06792-252678,,,,
Rairangpur H.O,757043,H.O,Delivery,Mayurbhanj,Bhubaneswar HQ,Odisha,Rairangpur,Mayurbhanj,ODISHA,06794-222128,,,,
Khurda H.O,752055,H.O,Delivery,Puri,Bhubaneswar HQ,Odisha,Khurda,Khorda,ODISHA,06755-220587,,,,
Nayagarh H.O,752069,H.O,Delivery,Puri,Bhubaneswar HQ,Odisha,Nayagarh,Nayagarh,ODISHA,06753-252219,,,,
Puri H.O,752001,H.O,Delivery,Puri,Bhubaneswar HQ,Odisha,Puri,Puri,ODISHA,06752-222051,,,,
Balangir H.O,767001,H.O,Delivery,Balangir,Sambalpur,Odisha,Balangir,Balangir,ODISHA,06652-232376,,,,
Angul H.O,759122,H.O,Delivery,Dhenkanal,Sambalpur,Odisha,Angul,Angul,ODISHA,06764-230595,,,,
Dhenkanal H.O,759001,H.O,Delivery,Dhenkanal,Sambalpur,Odisha,Dhenkanal,Dhenkanal,ODISHA,06762-226542,,,,
Keonjhargarh H.O,758001,H.O,Delivery,Keonjhar,Sambalpur,Odisha,Keonjhar,Kendujhar,ODISHA,06766-255513,,,,
Bargarh H.O,768028,H.O,Delivery,Sambalpur,Sambalpur,Odisha,Bargarh,Bargarh,ODISHA,06646-232824,,,,
Jharsuguda H.O,768201,H.O,Delivery,Sambalpur,Sambalpur,Odisha,Jharsuguda,Jharsuguda,ODISHA,06645-272430,,,,
Sambalpur H.O,768001,H.O,Delivery,Sambalpur,Sambalpur,Odisha,Sadar,Sambalpur,ODISHA,0663-2410965,,,,
Rourkela H.O,769001,H.O,Delivery,Sundargarh,Sambalpur,Odisha,Raurkela (M),Sundergarh,ODISHA,0661-2600698,,,,
Sundargarh H.O,770001,H.O,Delivery,Sundargarh,Sambalpur,Odisha,Sundargarh    ,Sundergarh,ODISHA,06622-272241,,,,
Uditnagar H.O,769012,H.O,Delivery,Sundargarh,Sambalpur,Odisha,Raghunathapali,Sundergarh,ODISHA,0661-2522212,,,,
Chandigarh G.P.O. ,160017,H.O,Delivery,Chandigarh,Chandigarh HQ,Punjab,Chandigarh,Chandigarh,CHANDIGARH,0172-2703716,,,,
Ropar H.O,140001,H.O,Delivery,Chandigarh,Chandigarh HQ,Punjab,Rupnagar,Rupnagar,PUNJAB,01881-221121,,,,
Ludhiana H.O,141001,H.O,Delivery,Ludhiana City,Chandigarh HQ,Punjab,Bharat Nagar Chowk,Ludhiana,PUNJAB,0161-2774004,,,,
Jagraon H.O,142026,H.O,Delivery,Ludhiana Moffusil,Chandigarh HQ,Punjab,Jagraon,Ludhiana,PUNJAB,01624-222357,,,,
Khanna H.O,141401,H.O,Delivery,Ludhiana Moffusil,Chandigarh HQ,Punjab,Khanna,Ludhiana,PUNJAB,01628-236244,,,,
Patiala H.O,147001,H.O,Delivery,Patiala,Chandigarh HQ,Punjab,Patiala,Patiala,PUNJAB,0175-2301697,,,,
Rajpura H.O,140401,H.O,Delivery,Patiala,Chandigarh HQ,Punjab,Rajpura,Patiala,PUNJAB,01762-243191,,,,
Sangrur H.O,148001,H.O,Delivery,Sangrur,Chandigarh HQ,Punjab,Sangrur,Sangrur,PUNJAB,01672-234377,,,,
Amritsar G.P.O. ,143001,H.O,Delivery,Amritsar,Chandigarh Region,Punjab,Amritsar,Amritsar,PUNJAB,0183-2400785,,,,
Tarn Taran H.O,143401,H.O,Delivery,Amritsar,Chandigarh Region,Punjab,,Tarn Taran,PUNJAB,01852-222533,,,,
Bathinda H.O,151001,H.O,Delivery,Bhatinda,Chandigarh Region,Punjab,Bathinda,Bathinda,PUNJAB,0164-2212693,,,,
Faridkot H.O,151203,H.O,Delivery,Faridkot,Chandigarh Region,Punjab,Faridkot,Faridkot,PUNJAB,01639-256384,,,,
Moga H.O,142001,H.O,Delivery,Faridkot,Chandigarh Region,Punjab,Moga,Moga,PUNJAB,01636-222367,,,,
Ferozepur H.O,152001,H.O,Delivery,Ferozpur,Chandigarh Region,Punjab,Ferozepur,Firozpur,PUNJAB,01632-245334,,,,
Batala H.O,143505,H.O,Delivery,Gurdaspur,Chandigarh Region,Punjab,Batala,Gurdaspur,PUNJAB,01871-240183,,,,
Gurdaspur H.O,143521,H.O,Delivery,Gurdaspur,Chandigarh Region,Punjab,Gurdaspur,Gurdaspur,PUNJAB,01874-241635,,,,
Dasuya H.O,144205,H.O,Delivery,Hoshiarpur,Chandigarh Region,Punjab,Dasuya,Hoshiarpur,PUNJAB,01883-285077,,,,
Hoshiarpur H.O,146001,H.O,Delivery,Hoshiarpur,Chandigarh Region,Punjab,Gurdaspur,Hoshiarpur,PUNJAB,01882-220141,,,,
Jalandhar Cantt H.O,144005,H.O,Delivery,Jalandhar,Chandigarh Region,Punjab,Jalandhar,Jalandhar,PUNJAB,0181-2260240,,,,
Jalandhar City H.O,144001,H.O,Delivery,Jalandhar,Chandigarh Region,Punjab,Jalandhar - I,Jalandhar,PUNJAB,0181-2459850,,,,
Kapurthala H.O,144601,H.O,Delivery,Kapurthala,Chandigarh Region,Punjab,Kapurthala,Kapurthala,PUNJAB,01822-232421,,,,
Phagwara H.O,144401,H.O,Delivery,Kapurthala,Chandigarh Region,Punjab,Phagwara,Kapurthala,PUNJAB,01824-260786,,,,
Ajmer H.O,305001,H.O,Delivery,Ajmer,Ajmer,Rajasthan,Ajmer,Ajmer,RAJASTHAN,0145-2429437,,,,
Madanganj Kishangarh H.O,305801,H.O,Delivery,Ajmer,Ajmer,Rajasthan,Kishangarh,Ajmer,RAJASTHAN,0145-242300,,,,
Beawar [Raj] H.O,305901,H.O,Delivery,Beawar,Ajmer,Rajasthan,Beawar,Ajmer,RAJASTHAN,01462-257440,,,,
Nasirabad H.O,305601,H.O,Delivery,Beawar,Ajmer,Rajasthan,Nasirabad,Ajmer,RAJASTHAN,01491-220003,,,,
Bhilwara H.O,311001,H.O,Delivery,Bhilwara,Ajmer,Rajasthan,Bhilwara,Bhilwara,RAJASTHAN,01482-220347,,,,
Chittorgarh H.O,312001,H.O,Delivery,Chittorgarh,Ajmer,Rajasthan,Chittorgarh,Chittorgarh,RAJASTHAN,01472-241159,,,,
Banswara H.O,327001,H.O,Delivery,Dungarpur,Ajmer,Rajasthan,Banswara,Banswara,RAJASTHAN,02962-242734,,,,
Dungarpur H.O,314001,H.O,Delivery,Dungarpur,Ajmer,Rajasthan,Dungarpur,Dungarpur,RAJASTHAN,02964-232511,,,,
Jhalawar H.O,326001,H.O,Delivery,Kota,Ajmer,Rajasthan,Jhalawar,Jhalawar,RAJASTHAN,07432-232359,,,,
Kota H.O,324001,H.O,Delivery,Kota,Ajmer,Rajasthan,Kota,Kota,RAJASTHAN,0744-2327592,,,,
New Grain Mandi Kota H.O,324007,H.O,Delivery,Kota,Ajmer,Rajasthan,Kota,Kota,RAJASTHAN,0744-2363553,,,,
Bundi H.O,323001,H.O,Delivery,Tonk,Ajmer,Rajasthan,Bundi,Bundi,RAJASTHAN,0747-2456740,,,,
Tonk Raj H.O,304001,H.O,Delivery,Tonk,Ajmer,Rajasthan,Tonk,Tonk,RAJASTHAN,01432-253192,,,,
Kankroli H.O,313324,H.O,Delivery,Udaipur,Ajmer,Rajasthan,Rajsamand,Rajsamand,RAJASTHAN,02952-220024,,,,
Udaipur H.O,313004,H.O,Delivery,Udaipur,Ajmer,Rajasthan,Girwa,Udaipur,RAJASTHAN,0294-2429305,,,,
Alwar H.O,301001,H.O,Delivery,Alwar,Jaipur HQ,Rajasthan,Alwar,Alwar,RAJASTHAN,0144-2701731,,,,
Bahror H.O,301701,H.O,Delivery,Alwar,Jaipur HQ,Rajasthan,Bahror,Alwar,RAJASTHAN,01494-220660,,,,
Bharatpur H.O,321001,H.O,Delivery,Bharatpur,Jaipur HQ,Rajasthan,,Bharatpur,RAJASTHAN,05644-230709,,,,
Deeg H.O,321203,H.O,Delivery,Bharatpur,Jaipur HQ,Rajasthan,Bharatpur,Bharatpur,RAJASTHAN,05641-220006,,,,
Dholpur H.O,328001,H.O,Delivery,Dholpur,Jaipur HQ,Rajasthan,Dholpur,Dholpur,RAJASTHAN,05642-220675,,,,
Jaipur G.P.O. ,302001,H.O,Delivery,Jaipur City,Jaipur HQ,Rajasthan,Jaipur,Jaipur,RAJASTHAN,0141-2374000,,,,
Jawahar Nagar H.O,302004,H.O,Delivery,Jaipur City,Jaipur HQ,Rajasthan,Jaipur,Jaipur,RAJASTHAN,0141-2652330,,,,
Shastri Nagar H.O,302016,H.O,Delivery,Jaipur City,Jaipur HQ,Rajasthan,Jaipur,Jaipur,RAJASTHAN,0141-2300077,,,,
Dausa H.O,303303,H.O,Delivery,Jaipur Moffusil,Jaipur HQ,Rajasthan,Dausa,Dausa,RAJASTHAN,01427-230250,,,,
Sambhar Lake H.O,303604,H.O,Delivery,Jaipur Moffusil,Jaipur HQ,Rajasthan,Jaipur,Jaipur,RAJASTHAN,01425-224216,,,,
Shahpura H.O,303103,H.O,Delivery,Jaipur Moffusil,Jaipur HQ,Rajasthan,Jaipur,Jaipur,RAJASTHAN,01422-222050,,,,
Gangapur H.O,322201,H.O,Delivery,Sawaimadhopur,Jaipur HQ,Rajasthan,Gangapur,Sawai Madhopur,RAJASTHAN,07463-234112,,,,
